substance_name,approval_countries
Disulfiram,"ARG, AUS, AUT, BEL, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CZE, DEU, ECU, ESP, EST, FIN, FRA, GBR, HUN, IDN, IND, IRL, ISR, ITA, JPN, KGZ, KOR, LTU, LUX, LVA, NLD, NOR, NZL, PER, POL, PRI, PRT, ROM, RUS, SGP, SVN, SWE, THA, TUR, TWN, UKR, USA, VEN, YUG, ZAF"
Aluminium phosphate,"ARM, BEL, BFA, BLR, CHN, CZE, DEU, EGY, ESP, FIN, FRA, GBR, ITA, KGZ, KOR, LTU, LUX, LVA, MAR, MYS, PAK, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, THA, TUN, TWN, UKR, URY, VNM"
Krameria lappacea tincture,"CHL, DEU"
Azidamfenicol,"ARE, BGR, CZE, DEU, GRC, LTU, LVA, SVK, UKR"
Cymbopogon nardus,ARG
Epimedium spp. leaf,CHN
Imisopasem manganese,
"Ammonium phosphate,dibasic","FRA, MAR"
Uncaria tomentosa,"ARG, AUS, AUT, BEL, BRA, CAN, CHL, DEU, DOM, FRA, GRC, IRN, JPN, LBN, LTU, LVA, MYS, NLD, NZL, PER, SAU, TUR, TWN, URY, USA, VEN"
Rumex crispus root,"AUS, CAN, LVA, MYS, NZL, USA"
Cyanocobalamin concentrate,USA
Ytterbium (169 yb),
Manidipine hydrochloride,"AUT, BRA, DEU, ESP, FRA, GRC, ITA, JPN, KOR, PHL, THA, TUN, TUR"
Tridolgosir hydrochloride,
Onasemnogene abeparvovec xioi,"PRI, USA"
Olprinone hydrochloride,JPN
Anagestone acetate,DEU
Taurolidine citrate,
Ferric hydroxide polymaltose complex,"ARE, ARG, ARM, AUS, BEL, BFA, BGD, BGR, BLR, BRA, BWA, CHE, CHL, CIV, COD, COL, CZE, DOM, ECU, EGY, EST, ETH, FIN, FRA, GEO, GHA, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NOR, NZL, PAK, PER, PHL, POL, PRT, ROM, RUS, SAU, SGP, SVK, SVN, THA, TUN, TUR, TWN, UGA, UKR, URY, VEN, VNM, ZAF, ZMB, ZWE"
Cyclofenil,"ARE, BRA, CIV, COL, DEU, FIN, FRA, GBR, ITA, JPN, KOR, LTU, LVA, MEX, SAU, SWE, TUN, TUR"
Dioscorea spp. rhizome,"COD, IDN, JPN, KOR"
Gratiola spp. extract,LVA
Phenylephrine,"ARE, ARG, AUT, BEL, BFA, BGR, BLR, BRA, BWA, CAN, CHE, CIV, COD, COL, CZE, DEU, DOM, ECU, EGY, ESP, ETH, FIN, FRA, GBR, GRC, HKG, HND, HUN, IDN, IND, IRL, ISR, ITA, JOR, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MEX, NLD, NZL, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SVK, SWE, THA, TUN, TWN, UGA, UKR, URY, USA, VEN, ZAF, ZMB"
Protoporphyrin,"ARG, TWN"
Neticonazole hydrochloride,"JPN, KOR"
Buxus spp.,CHN
Gigantochloa felix,
Potassium chlorate,"BRA, CAN, CHE, CZE, ESP, GBR, JPN, USA"
Carbaril,"GBR, GRC, ISR, KOR, THA"
Myrtecaine,"ARE, ARG, AUT, BEL, BFA, CIV, DEU, EGY, ESP, FRA, GRC, HUN, IDN, JOR, LUX, NLD, PER, PRT, SAU, TUN, TUR, TWN, VEN, ZAF"
Solanum xanthocarpum,"ARM, GEO, IND, KAZ, KGZ, MDA, MNG, MYS, RUS, SGP, TJK, TKM, UZB, ZAF"
Ticlopidine,"EGY, HRV, ITA, POL, PRT"
Pertussis vaccine acellular,"ARG, AUS, AUT, BEL, BGR, BRA, CAN, COL, DEU, DNK, DOM, ECU, ESP, FIN, GBR, GRC, HRV, IND, ITA, JPN, KOR, LUX, NLD, NZL, PER, PHL, POL, PRI, PRT, SWE, THA, TUR, USA"
Magnolia spp.,"CAN, ITA, JPN, KOR, USA"
Cefoxitin,"CHN, THA"
Milverine,
Felbamate,"ARG, AUT, BEL, CHE, COL, CZE, DEU, DNK, ESP, FRA, GBR, HUN, IRL, ITA, LTU, LUX, NLD, NOR, NZL, POL, PRI, SVK, SWE, URY, USA, ZAF"
Allergens nos,"AUT, BEL, BRA, CAN, CHE, CHN, COL, CZE, DEU, DNK, EST, FIN, FRA, GBR, GRC, HRV, HUN, JPN, KOR, LTU, MAR, NLD, NOR, POL, PRT, RUS, SVK, SVN, SWE, ZAF"
Glipalamide,
Solidago virgaurea herb extract,"DEU, ITA, NOR, SWE"
Tecarfarin,
Oxymetholone,"ARE, AUS, BRA, CZE, ESP, FIN, GBR, GRC, JPN, KOR, LTU, LVA, MYS, NLD, POL, SGP, SWE, THA, TUR, TWN, USA"
Lysine amidotrizoate,"AUT, CHE, DEU, HUN"
Metisazone,
Indisetron,
Epinephrine hydrochloride,"ARG, AUS, AUT, BEL, BGR, BLR, BRA, BWA, CAN, CHE, CHN, COL, CZE, DEU, DOM, ECU, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IRL, ITA, JOR, JPN, KGZ, KOR, KWT, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUR, TWN, UGA, UKR, URY, USA, VEN, ZAF, ZMB"
Ispinesib mesilate,
Prunus spinosa extract,"CHL, DEU"
Eucalyptus globulus leaf oil,"KGZ, ROM"
Crizanlizumab tmca,USA
Bufuralol,
Manganese sulfate monohydrate,"ARE, ARG, AUS, BGD, BRA, CHL, DEU, ECU, EGY, ESP, FRA, IDN, IND, KOR, KWT, LBN, MYS, NZL, PER, PHL, PRY, ROM, RUS, SGP, UKR, USA"
Phentolamine mesilate,"ARG, AUS, AUT, BEL, BGR, BRA, CAN, CHE, CHN, COL, CZE, DEU, DOM, EGY, FIN, FRA, GBR, GRC, HKG, HUN, IND, IRL, ISR, ITA, JPN, KOR, KWT, LTU, LUX, LVA, MEX, NLD, NOR, NZL, PRI, SAU, SVN, SWE, THA, TWN, USA, VEN, YUG"
Tivozanib hydrochloride,
Larix decidua oleoresin,
Atagabalin,
Argemone mexicana flower,
Phenformin hydrochloride,"ARG, AUT, BEL, BRA, CAN, CHE, CHN, CZE, DEU, DOM, FIN, GBR, GRC, IND, ITA, JPN, LBN, LTU, LVA, MEX, NZL, PAK, POL, PRT, SWE, URY, USA"
Daphne mezereum,"AUS, CHE, DEU, FRA, LTU, LUX, LVA, MEX"
Hmr 1715,
Cytisine,"BGR, BLR, HUN, KGZ, LTU, LVA, POL, RUS, UKR"
Collagen porcine,"DEU, GBR, NLD, PRT, USA"
Dioscorea batatas,
Necuparanib,
Copper sulfate,"ARE, ARG, AUS, AUT, BEL, BFA, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, COD, COL, DEU, DNK, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, HKG, HRV, HUN, IDN, IND, IRL, ISR, JOR, JPN, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NOR, NZL, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, USA, VEN, ZAF, ZMB, ZWE"
Delta-tocopherol,"NZL, USA, ZAF"
Meconopsis quintuplinervia flower,CHN
Sodium silicate,"JOR, PRI, USA"
Dimesna,
Gentamicin embonate,"ARG, URY"
Pyrroloquinoline quinone,"DEU, USA, ZAF"
Oxalobacter formigenes,IND
Nicotinamide riboside,USA
Tanezumab,
Pinus nigra essential oil,
Piper cubeba essential oil,
Lunasine,USA
Cinchona calisaya,
Netivudine,
Thiamphenicol aminoacetate hydrochloride,"ARE, BEL, BRA, CHE, COL, EGY, ESP, FRA, HKG, IDN, ITA, JPN, KOR, LBN, LUX, MEX, POL, SAU, THA, TUN, TUR, TWN"
Tymazoline,POL
Carteolol,
Insulin aspart protamine (crystalline),"ARE, ARG, AUS, AUT, BEL, BGD, BGR, BRA, BWA, CAN, CHE, CHL, CHN, CIV, COD, COL, CZE, DEU, DNK, DOM, EGY, ESP, EST, ETH, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MYS, NLD, NOR, NZL, PAK, PHL, POL, PRT, ROM, RUS, SAU, SGP, SRB, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, VEN, ZAF, ZMB, ZWE"
MEDI0457,
Cimicifuga racemosa extract,"ARE, ARG, AUS, AUT, BGR, BRA, CAN, CHE, CHL, CZE, DEU, EGY, ESP, EST, HUN, IDN, IRN, JPN, KOR, LTU, LUX, LVA, MEX, MYS, NOR, NZL, PHL, POL, RUS, SAU, SGP, SVN, THA, TUR, TWN, UKR, URY, USA, VEN"
Ricinoleic acid,"AUS, CAN, GBR, HUN, ISR, NZL, PRI, SWE, USA"
Flutemazepam,AUT
Pipobroman,"AUT, BEL, CIV, FRA, ITA, JPN, NZL, POL, USA"
Arfolitixorin,
Prizidilol hydrochloride,
Glucosulfone,
Melaleuca cajuputi,AUS
Symphytum officinale root,"AUT, BEL, DEU, HRV, HUN, MEX, PRI, USA"
Xanthium spinosum root,
Embusartan,
Soblidotin,
Camostat mesilate,"IND, JPN, KOR, PHL"
Lentinan,"CHN, JPN, KOR, SWE"
Gymnadenia conopsea tuber,CHN
Hydrastis canadensis root powder,TUR
Tribendimidine,
OMP 336B11,
Suxamethonium bromide,"AUS, BGR, GBR, LTU, LVA, ROM"
Bleomycin,"BGR, BWA, URY, YUG, ZWE"
Thioridazine,"ARE, ARG, AUS, AUT, CAN, CHL, COL, CZE, DEU, DOM, ECU, ESP, EST, FIN, FRA, GBR, GRC, IND, IRL, ITA, JPN, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NZL, PER, POL, PRI, PRT, RUS, SAU, SRB, SVN, SWE, THA, TUN, TUR, URY, USA, VEN, ZAF"
Holarrhena pubescens root,IND
Chlorpromazine hibenzate,JPN
Ganoderma lucidum extract,CHN
Brimonidine,
Helianthus annuus seed oil,"AUS, BRA, CAN, DEU, EST, LTU, POL, USA"
Juglans regia oil,"FRA, IRN, LVA"
Nitrovin hydrochloride,TWN
Tepotinib,
Aesculus hippocastanum seed fluid extract,SVK
AZD 2115,
Almitrine dimesilate,"ARE, ARG, BEL, BGD, BRA, CHN, EGY, ESP, FRA, GRC, HKG, IRL, JOR, KOR, KWT, LBN, LUX, MAR, PAK, PHL, POL, PRT, RUS, SGP, THA, TUN"
Meladrazine tartrate,DNK
Aronia arbutifolia,
Isoniazid iron sulfate dihydrate,RUS
Alvespimycin,
Arundo donax root,
Oxybutynin,"ARG, CAN, CHE, CHL, CHN, COL, CZE, DEU, EGY, ESP, GBR, IND, IRL, ITA, NLD, NOR, NZL, POL, PRI, SVK, SWE, TUR, TWN, USA"
Beta vulgaris,"AUS, AUT, BRA, DEU, GBR, HKG, IRN, JOR, LVA, NZL, SGP, SWE, USA, ZAF, ZMB"
Aluminum magnesium hydroxide,KOR
Fagonia cretica,
Prunus persica leaf,CHN
Ginkgo biloba tincture,"DEU, POL"
Eucalyptus spp. essential oil,"DEU, HUN, USA"
Tocopheryl acetate,"ARE, ARG, AUS, AUT, BEL, BFA, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, CIV, COD, COL, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GRC, GTM, HKG, HRV, HUN, IDN, IND, IRL, IRN, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, USA, VEN, ZAF, ZMB"
Aromatic spirit of ammonia,"GBR, USA, ZAF"
Umeclidinium bromide,"ARE, ARG, AUS, AUT, BEL, BGR, BRA, CAN, CHE, CHL, COL, CZE, DEU, DOM, ECU, ESP, EST, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IRL, ITA, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MEX, MYS, NLD, NOR, NZL, PHL, POL, PRI, PRT, RUS, SAU, SGP, SVK, SVN, SWE, TUR, TWN, UKR, URY, USA"
Acetylcholine chloride,"ARG, AUS, BEL, BGD, CAN, CHE, COL, DEU, ESP, FIN, FRA, GBR, GRC, HKG, IRL, ITA, JPN, KOR, LTU, LUX, LVA, MEX, NLD, NOR, NZL, PAK, PRI, PRT, SAU, SVN, SWE, TUN, USA, ZAF"
Amoxapine,"CAN, DNK, ESP, FRA, GBR, IDN, IND, IRL, JPN, KOR, NZL, PRI, UKR, USA"
Paris polyphylla,
Senecio spp.,DEU
Magnesium sulfate dihydrate,CHE
Timobesone acetate,
Travoprost,"ARE, ARG, ARM, AUS, AUT, BEL, BFA, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, COL, CZE, DEU, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UKR, URY, USA, VEN, ZAF, ZMB, ZWE"
Alhagi maurorum leaf oil,
Ilex latifolia,
Mucoproteose,"BLR, CHE, CHL, FRA, IDN, KOR, LBN, PER, RUS, TUR, UKR"
Rubus vitifolius subsp. ursinus root bark,
Coptis trifolia rhizome,
Estradiol butyrylacetate,NLD
Lindera aggregata seed,
Isoxsuprine,"ARG, IND, TWN"
Euphorbia balsamifera leaf with twig,
Sulindac,"ARE, AUS, AUT, BEL, BGD, BGR, BWA, CAN, CHE, CHN, CIV, COL, DEU, DOM, ECU, EGY, ESP, EST, FIN, FRA, GBR, HKG, HUN, IRL, ISR, ITA, JOR, JPN, KOR, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PER, PHL, POL, PRI, PRT, PSE, RUS, SAU, SGP, THA, TWN, UKR, URY, USA, VEN, YUG, ZAF"
Pimpinella anisum powder,"AUS, CIV, DEU, EGY, NZL"
Levobupivacaine,FRA
Stryphnodendron adstringens,
Deramciclane,
Polyferose,
Aquilegia vulgaris herb,"AUT, CHE, IRN"
Didecyldimethylammonium,"BFA, CIV"
Stannous medronate,DEU
Cinepazet,
Gliclazide,"ARE, ARG, ARM, AUS, AUT, AZE, BEL, BFA, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, CIV, COD, COL, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, ETH, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ITA, JAM, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NZL, OMN, PAK, PER, PHL, POL, PRT, ROM, RUS, SAU, SGP, SRB, SVK, SVN, THA, TUN, TUR, TWN, UGA, UKR, URY, VEN, VNM, YUG, ZAF, ZMB, ZWE"
Tocopherylquinone,IND
Betamethasone butyrate propionate,JPN
Sultiame,"ARG, AUS, AUT, BEL, CHE, CZE, DEU, EST, FIN, FRA, GBR, GRC, HUN, ISR, ITA, JPN, LTU, LVA, MYS, NZL, POL, PRT, SVK, SWE, TUR, USA"
Trigonella foenum-graecum seed powder,AUS
Norepinephrine hydrochloride,"AUT, BGR, CZE, DEU, DNK, EST, FIN, FRA, ITA, JPN, LVA, NOR, PRI, SVK, SVN, THA, TUR, TWN, USA, YUG"
Tolevamer,
Mefloquine,"BFA, CHE, CIV, IND, NGA, THA, ZMB"
Bidens bipinnata juice,
Eleclazine hydrochloride,
Kadsura coccinea seed,
Otilonium,
Lactobacillus Plantarum,"ARE, ARG, AUS, BEL, CAN, CHE, COD, COL, CZE, DEU, ESP, EST, FRA, GRC, HKG, IDN, IND, IRN, ITA, JOR, KGZ, LBN, LTU, LVA, MEX, MYS, NLD, NOR, NZL, PAK, PHL, POL, PRI, ROM, RUS, SGP, SRB, SVK, SVN, SWE, TUR, TWN, UKR, URY, USA, ZAF"
Centaurea behen root,"GEO, KAZ, KGZ, PAK, TJK, USA, UZB"
Vaccaria hispanica sap,
Histoplasmin,"PRI, USA"
Daphne gnidium,
Eucommia ulmoides stem bark,"AUS, CHN, HKG"
Prunus mume,"JOR, PER"
Tricholine citrate,"CIV, COD, IND, UGA"
Denopamine,"JPN, KOR"
Isodon lophanthoides,
Bifidobacterium pseudolongum,LTU
PD 0325901,
Hintonia latiflora,
Chloropyramine,"BGR, YUG"
Lagerstroemia indica leaf,
Geranium robertianum herb,
Peruvoside,DEU
Anethole trithione,"ARE, BEL, CAN, CHE, CHN, DEU, ESP, FIN, FRA, HKG, IND, ITA, JPN, LBN, LUX, LVA, PRT, THA, TUN, TUR, TWN, URY, VEN"
Paratyphoid vaccine A,
Aphanes arvensis,
Aluminium bis(acetylsalicylate),"AUS, DEU, ESP, JPN, KOR, THA, TWN"
Cysteine hydrochloride,"AUS, AUT, BFA, BWA, CAN, CHE, CHN, COD, CZE, DEU, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, HUN, IND, ITA, JPN, KOR, KWT, LBN, LTU, LVA, MAR, MEX, NLD, NOR, NZL, PAK, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, THA, TUR, TWN, UKR, USA, VEN, VNM, ZAF, ZMB"
Fluorescein,"CAN, GBR, RUS"
Oblimersen sodium,USA
Solanum dulcamara,"AUS, AUT, BGR, CAN, CHE, COL, CZE, DEU, EGY, FRA, LUX, LVA, MEX, PRI, RUS, SAU, SWE, THA, USA"
Enoxolone,"ARE, ARG, AUS, BEL, BFA, BGR, BRA, CHN, CIV, COD, COL, DEU, DOM, ECU, EGY, ESP, EST, FIN, FRA, GBR, HKG, IDN, IND, ISR, ITA, JPN, KGZ, KOR, LBN, LUX, MAR, MCO, MEX, MYS, NZL, PAK, PER, RUS, SGP, SWE, TWN, UKR, USA"
Fritillaria usuriensis,
Defibrotide,"AUT, BEL, CZE, EST, FIN, FRA, GBR, HKG, HUN, ITA, JPN, KOR, LTU, MYS, NLD, NOR, NZL, POL, PRI, ROM, SVK, SVN, SWE, USA"
Eriosema kraussianum,
Carbamazepine,"ARE, ARG, ARM, AUS, AUT, BEL, BFA, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, CIV, COD, COL, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SRB, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, USA, VEN, ZAF, ZMB, ZWE"
Rumex acetosa root,CHN
Lulizumab pegol,
Acetazolamide,"ARE, ARG, AUS, AUT, BEL, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, COL, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, USA, VEN, YUG, ZAF, ZMB, ZWE"
Dimevamide,"GBR, ZAF"
RSV vaccine live,
Solabegron,
Anacardium occidentale seed,
Lactuca virosa extract,"EGY, NOR"
Allium tuberosum whole plant,
Metesind,
Ferrous aspartate,"ARE, ARG, BEL, BGR, DEU, EST, FIN, GRC, ITA, LTU, LUX, LVA, USA"
Dioscorea collettii var. hypoglauca rhizome,"CHN, USA"
Prunus domestica extract,JPN
HS 10296,
Ganoderma lucidum,"AUS, CAN, CHN, COD, DEU, EGY, ESP, EST, GBR, HKG, IDN, ISL, LTU, LVA, MYS, NZL, PHL, SGP, SVN, THA, TUR, TWN, USA, VNM, ZMB"
Tilisolol hydrochloride,JPN
Eicosapentaenoic acid ethyl ester,"ARE, ESP, GBR, IND, JPN, KOR, LBN, NOR, PRI, USA"
Mertiatide,DEU
Tiracizine,
Somatropin,"ARE, ARG, AUS, AUT, BEL, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, COL, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SRB, SVK, SVN, SWE, THA, TUN, TUR, TWN, UKR, URY, USA, VEN, ZAF"
Vincristine,"DNK, GBR, ZMB"
Chlorcyclizine hydrochloride,"CHN, DNK, ESP, EST, FIN, GBR, ISR, LVA, NLD, NOR, PRI, PRT, SWE, TWN, USA"
Pinus mugo essential oil,"CHE, DEU, EST, LBN"
Acesulfame,
Gmelina arborea,"IND, ZAF"
Varlitinib tosylate,
Nabumetone,"ARE, ARG, BEL, BLR, BRA, BWA, CAN, CHE, CHN, CIV, COL, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KOR, KWT, LTU, LUX, LVA, MEX, NLD, NOR, PAK, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUR, TWN, URY, USA, VEN, ZAF, ZMB"
Indiplon,
Deptropine sulfate,
Alloclamide hydrochloride,"ESP, JPN"
Piretanide,"AUT, BRA, CHE, DEU, DOM, ESP, FRA, GBR, IDN, IRL, ITA, JPN, KOR, MEX, POL, TUN, ZAF"
Perazine dimalonate,"BEL, DEU, IDN, JPN, NLD, POL"
Paeonia lactiflora total glycoside extract,CHN
Mecloxamine,
Solanum nigrescens,
Alopecurus pratensis,
Mezlocillin,"ARG, CHN"
Ripasudil,
Carlumab,
Etidocaine hydrochloride,"AUS, DEU, FIN, FRA, SWE, USA"
Orazamide,"BEL, CHN, CZE, DEU, IDN, JPN, LTU, LVA, POL, PRT, URY"
Valeriana officinalis root,"ARE, ARG, ARM, AUS, AUT, BGR, BRA, CAN, CHE, CHL, COL, CZE, DEU, DNK, DOM, ESP, EST, FRA, GBR, HKG, HRV, HUN, IRL, IRN, ISR, ITA, JOR, KOR, LBN, LTU, LUX, LVA, MEX, MYS, NLD, NOR, NZL, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SVN, SWE, TUR, UKR, USA, ZAF, ZMB"
Alpha-amylase fungi,USA
S 55746,
Murraya paniculata leaf,CHN
Prednisolone butylacetate,"FIN, GBR, JPN, PAK, USA"
Baptisia spp. extract,IDN
Polygonatum falcatum,JPN
Immunoglobulin antivenom Pseudechis australis,AUS
Aminohippurate sodium,"JPN, PRI, SWE, USA"
Senna spp.,"ARE, ARG, AUS, BEL, BFA, BGD, BLR, BRA, CAN, CHL, COD, COL, DEU, DOM, ECU, EGY, ESP, FRA, GBR, GRC, HKG, IDN, IND, IRN, ISR, ITA, JPN, KOR, KWT, LBN, LUX, NLD, NZL, PAK, PER, PHL, POL, PRI, PRT, RUS, SAU, SVK, THA, TUR, TWN, UKR, URY, USA, ZAF"
Cynara cardunculus extract,"ARE, ARG, AUS, AUT, BEL, BGR, BLR, BRA, CHL, COL, DEU, EGY, ESP, EST, FRA, IDN, KOR, KWT, LTU, LUX, LVA, MAR, MEX, POL, PRT, ROM, RUS, SAU, TUN, TUR, UKR, URY, USA, VEN, ZAF"
Trolamine,"ARG, AUS, BFA, BRA, CHN, CIV, COL, DEU, DOM, EGY, FRA, GBR, IND, IRL, PAK, PER, PRI, ROM, USA"
Coix lacryma-jobi subsp. ma-yuen seed,"CHN, JPN, USA"
Docosahexaenoic acid ethyl ester,"GBR, KOR"
Echinacea purpurea juice,"AUS, NZL"
AMD 070,
TAS 4464,
Olanzapine embonate,"AUS, AUT, BEL, BGR, CZE, DEU, ESP, EST, FRA, GBR, GRC, HRV, IRL, ITA, LTU, NLD, NOR, POL, ROM, SVK, SVN, SWE, USA"
Eucalyptus odorata var. odorata,AUS
Cefsulodin sodium,"DEU, FRA, GBR, IDN, JPN, LTU, LVA, POL, THA, TWN, URY"
Cycloguanil embonate,
Amomum tsao-ko fruit,CHN
Hydrangea arborescens leaf,
Desmeninol,
Citrus spp. oil,"BFA, EST, NZL, RUS, SAU, USA"
Alpinia chinensis,
Cannabis sativa flower,"CAN, DEU, NLD, NOR, NZL"
Cistus spp.,"DEU, PAK"
Cyperus spp. rhizome,"KOR, USA"
Syzygium aromaticum flower bud essential oil,"AUS, CHN, IDN, POL, USA"
Houttuynia cordata extract,"CHN, JPN"
Acrivastine,"ARE, BGD, CHE, CHN, CZE, DNK, EGY, EST, FIN, GBR, HKG, HUN, IDN, IND, IRL, ITA, JOR, KOR, KWT, LTU, LVA, MYS, NLD, NOR, PHL, PRI, ROM, RUS, SGP, SWE, THA, TUR, TWN, UKR, USA, ZAF"
Glycyrrhiza glabra rhizome,"AUS, ITA"
Bryonia spp. tincture,CHE
Glycine max seed oil,"ARE, ARG, AUS, AUT, BEL, BGR, BRA, BWA, CAN, CHE, CHL, CHN, COL, CZE, DEU, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GHA, GRC, HKG, HRV, HUN, IDN, IND, IRL, IRN, ISR, ITA, JPN, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PER, PHL, POL, PRT, ROM, RUS, SAU, SGP, SRB, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, USA, VEN, ZAF, ZMB, ZWE"
Rheum palmatum dry extract,"CHE, CHN, DEU, HUN, ISR, ITA, JPN, NLD"
Batroxobin,"CHN, FRA, ITA, JPN, KOR, ROM, TWN"
Daphne genkwa root,CHN
Teprenone,"CHN, DOM, IDN, JOR, JPN, KOR, PHL, THA"
Sulfaethidole,"ARE, DEU, MEX, RUS"
Aletris farinosa tincture,DEU
Casopitant mesilate,
Stichopus horrens,"COD, MYS"
"Sodium 3,4-dimethoxyphenylglyoxylate","DEU, FIN, POL"
Euphorbia kansui,
Pronilide,"BLR, DEU, EST, KGZ, LTU, LVA, RUS, UKR"
Biperiden hydrochloride,"ARE, ARG, AUS, AUT, BEL, BGR, BRA, BWA, CAN, CHE, CHL, COL, CZE, DEU, DOM, ECU, EGY, ESP, EST, FIN, FRA, GBR, GRC, HRV, HUN, IND, IRL, ISR, ITA, JOR, JPN, KOR, KWT, LBN, LTU, LUX, LVA, MEX, NLD, NOR, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SRB, SVK, SVN, SWE, TUN, TUR, TWN, UKR, URY, USA, VEN, ZAF"
MEDI 0562,
Pimodivir,
Nicomorphine hydrochoride,CHE
GTI 2040,
Gentiana lutea tincture,"AUT, BRA, DEU, JPN, LTU"
Parethoxycaine,
Butyl phthalate,CHN
Picibanil,"JPN, KOR, PRT, TWN"
Hibiscus mutabilis flower,
